시도명,시군구명,관할구청,신호등 위치
경상남도,창원시,의창구,사화동신화철강앞사거리
경상남도,창원시,의창구,당산골북교차로
경상남도,창원시,의창구,중동3사거리
경상남도,창원시,의창구,도계사거리
경상남도,창원시,의창구,남산마을앞
경상남도,창원시,의창구,대산초등학교육교앞
경상남도,창원시,의창구,대산면풍년교
경상남도,창원시,의창구,명곡동상북초등학교삼거리
경상남도,창원시,의창구,도계초등학교
경상남도,창원시,의창구,대원로접속사거리
경상남도,창원시,의창구,대원동주택지단일로
경상남도,창원시,의창구,세코뒤삼거리
경상남도,창원시,의창구,주남평화맨션앞삼거리
경상남도,창원시,의창구,대원교사거리
경상남도,창원시,의창구,북면동전사거리
경상남도,창원시,의창구,창원고등학교
경상남도,창원시,의창구,메트로병원입구사거리
경상남도,창원시,의창구,중동지구39사옆삼거리
경상남도,창원시,의창구,중동지구1사거리
경상남도,창원시,의창구,중동지구2삼거리
경상남도,창원시,의창구,팔용동백제약품앞사거리
경상남도,창원시,의창구,경남학생기숙사
경상남도,창원시,의창구,명곡동두산위브103동앞
경상남도,창원시,의창구,명곡동두산위브107동앞
경상남도,창원시,의창구,사림동중앙역앞삼거리
경상남도,창원시,의창구,대산모산농협출하장앞
경상남도,창원시,의창구,대원동대원초등학교후문앞
경상남도,창원시,의창구,팔용동사무소
경상남도,창원시,의창구,팔용동사화초등학교
경상남도,창원시,의창구,늘푸른전당앞사거리
경상남도,창원시,의창구,유통단지삼거리(농산물도매시장)
경상남도,창원시,의창구,차룡동대동물류센터
경상남도,창원시,의창구,봉림휴먼시아2차4단지
경상남도,창원시,의창구,봉림동 주민센터
경상남도,창원시,의창구,한들초등학교(봉림컨트리클럽입구)
경상남도,창원시,의창구,대산면제동마을입구삼거리
경상남도,창원시,의창구,봉곡동봉곡로11번길
경상남도,창원시,의창구,명서초교앞사거리
경상남도,창원시,의창구,창원공고정문앞보행
경상남도,창원시,의창구,도경주유소
경상남도,창원시,의창구,동읍용강마을서측
경상남도,창원시,의창구,해강아파트
경상남도,창원시,의창구,도립미술관뒷편삼거리
경상남도,창원시,의창구,도계교
경상남도,창원시,의창구,명서동목련교
경상남도,창원시,의창구,동읍주민센터
경상남도,창원시,의창구,동읍신방초등학교
경상남도,창원시,의창구,동읍창원동중학교
경상남도,창원시,의창구,동읍칠성그린아파트
경상남도,창원시,의창구,신월동토월천1호교
경상남도,창원시,의창구,용강마을입구동측
경상남도,창원시,의창구,동읍소방서단일로
경상남도,창원시,의창구,덕정교사거리
경상남도,창원시,의창구,북면사무소
경상남도,창원시,의창구,팔용중학교
경상남도,창원시,의창구,동읍송정마을
경상남도,창원시,의창구,한국산업단지공단
경상남도,창원시,의창구,봉림휴먼시아2차후문
경상남도,창원시,의창구,역세권1삼거리
경상남도,창원시,의창구,역세권2삼거리
경상남도,창원시,의창구,역세권3사거리
경상남도,창원시,의창구,역세권삼거리
경상남도,창원시,의창구,감계힐스테이트2차
경상남도,창원시,의창구,신동마을사거리
경상남도,창원시,의창구,무동2교차로
경상남도,창원시,의창구,용호초등 정문
경상남도,창원시,의창구,레이크파크 동문
경상남도,창원시,의창구,레이크파크 서문
경상남도,창원시,의창구,역세권4삼거리
경상남도,창원시,의창구,한전사거리
경상남도,창원시,의창구,무동1교차로
경상남도,창원시,의창구,천주빌딩앞삼거리
경상남도,창원시,의창구,일신휴먼빌아파트삼거리
경상남도,창원시,의창구,명곡초교2
경상남도,창원시,의창구,대력그린빌
경상남도,창원시,의창구,무동마을입구사거리
경상남도,창원시,의창구,"일신휴먼빌1,2입구"
경상남도,창원시,의창구,일신휴먼빌2차
경상남도,창원시,의창구,무동초교후문
경상남도,창원시,의창구,신화테크노밸리
경상남도,창원시,의창구,신한사거리
경상남도,창원시,의창구,두대교사거리
경상남도,창원시,의창구,두대삼거리
경상남도,창원시,의창구,대원꿈에그린서문
경상남도,창원시,의창구,대원꿈에그린북문
경상남도,창원시,의창구,어린이교통공원 입구
경상남도,창원시,의창구,동전산업단지
경상남도,창원시,의창구,동전삼거리
경상남도,창원시,의창구,동전리버스정류장
경상남도,창원시,의창구,창원의봄단일로
경상남도,창원시,의창구,한효로얄코아
경상남도,창원시,의창구,동일그린맨션
경상남도,창원시,의창구,경남교육청앞
경상남도,창원시,의창구,명곡초교1
경상남도,창원시,의창구,도계초등학교정문
경상남도,창원시,의창구,동전교차로
경상남도,창원시,의창구,경찰청사거리
경상남도,창원시,의창구,신월약수터
경상남도,창원시,의창구,토월지하차도상판삼거리
경상남도,창원시,의창구,경남도청서문
경상남도,창원시,의창구,도청광장
경상남도,창원시,의창구,중동북로1교차로
경상남도,창원시,의창구,중동북로2단일로
경상남도,창원시,의창구,중동북로3교차로
경상남도,창원시,의창구,중동로1교차로
경상남도,창원시,의창구,유니시티2단지정문
경상남도,창원시,의창구,중동로2단일로
경상남도,창원시,의창구,의창스포츠센터
경상남도,창원시,의창구,중동남로1교차로
경상남도,창원시,의창구,유니시티1단지 후문
경상남도,창원시,의창구,중동남로2단일로
경상남도,창원시,의창구,도계중학교앞
경상남도,창원시,의창구,"유니시티 3,4단지 상가 앞"
경상남도,창원시,의창구,"유니시티 3,4단지 입구"
경상남도,창원시,의창구,유니시티 3단지 후문
경상남도,창원시,의창구,유니시티 4단지 후문
경상남도,창원시,의창구,수산1교차로
