대한민국 경상남도 창원시 성산구 상남동 마디미로56번길 7,"['35.2197755', '128.6817512']",387
대한민국 경상남도 창원시 성산구 삼정자동 360-1,"['35.1987379', '128.7110367']",414
대한민국 경상남도 창원시 성산구 사파동,"['35.2216259', '128.6933983']",119
대한민국 경남 창원시 성산구 상남동 27-3,"['35.2204313', '128.6804829']",489
대한민국 성산구 상남동 34-10번지 아모르빌딩 101호 창원시 경상남도 KR,"['35.2205484', '128.6811964']",87
대한민국 경상남도 창원시 성산구 상남동 31-5번지 KR,"['35.2193073', '128.6816572']",17
대한민국 서울특별시 구로구 개봉1동 경인로 368,"['37.4962635', '126.8608996']",2
대한민국 경상남도 창원시 성산구 원이대로682번길 21 KR,"['35.2210172', '128.6873089']",164
대한민국 경상남도 창원시 성산구 상남동 69-1,"['35.2180149', '128.6774277']",205
대한민국 부산광역시 중구 중앙동7가 중앙대로 2,"['35.0973646', '129.0364049']",386
대한민국 경상남도 성산구 창원시 성산구 상남동,"['35.2190257', '128.6820316']",10
대한민국 경상남도 창원시 성산구 상남동 26-3 번지 지하 1층,"['35.2214781', '128.6814436']",7
대한민국 경상남도 창원시 성산구 상남동 71-3,"['35.2193203', '128.6773166']",277
대한민국 경상남도 창원시 성산구 웅남동 72-6,"['35.2031777', '128.659134']",5
대한민국 경상남도 창원시 성산구 상남동,"['35.2244865', '128.6846768']",13
대한민국 경상남도 창원시 창원시 성산구 웅남동 성산패총로 29,"['35.200295', '128.673762']",214
대한민국 서울특별시 동작구 대방동 여의대방로44길 20,"['37.5081244', '126.9263096']",29
대한민국 경상남도 창원시 성산구 대방동 362-1번지 KR 1층 102호 무궁화빌딩 1동,"['35.20922729999999', '128.7070339']",555
대한민국 경상남도 창원시 진해구 경화동,"['35.1567446', '128.6885394']",54
대한민국 경상남도 창원시 성산구 가음동 31,"['35.2065721', '128.6919267']",58
대한민국 경상남도 창원시 성산구 내동 연덕로184번길 1,"['35.2190979', '128.6668731']",44
대한민국 경상남도 창원시 성산구 대방동 대정로 138,"['35.2099455', '128.7082937']",782
대한민국 경상남도 창원시 성산구 중앙동 완암로 171,"['35.2160505', '128.6687851']",10
대한민국 경상남도 창원시 성산구 상남동 마디미서로 42,"['35.2217095', '128.6816499']",14
대한민국 경상남도 창원시 상남동 89,"['35.2225145', '128.6859268']",4
대한민국 반림동,"['35.232685', '128.671786']",69
대한민국 성산구 상남동 17-3번지 1층 창원시 경상남도 KR,"['35.2218602', '128.685141']",2
대한민국 경상남도 창원시 성산구 중앙동 중앙대로 60,"['35.2201535', '128.6777332']",14
대한민국 경상남도 창원시 성산구 남양동 13번길 5,"['35.2118257', '128.6983038']",261
대한민국 경상남도 창원시 성산구 중앙동 97-2,"['35.2222366', '128.6777609']",88
대한민국 서울특별시 동대문구 용신동 고산자로 420,"['37.5771457', '127.0385743']",100
대한민국 경상남도 창원시 성산구 남양동 1,"['35.2140158', '128.7035643']",326
대한민국 성산구 상남동 1-7번지 미도상가 5호 창원시 경상남도 KR,"['35.2239747', '128.685652']",59
대한민국 경상남도 창원시 성산구 상남동 22-3번지 KR 모아엔트몰 302호,"['35.2202166', '128.6839287']",32
대한민국 경상남도 창원시 성산구 반지동 23,"['35.2452893', '128.6697888']",115
대한민국 경상남도 창원시 성산구 상남동 28-1,"['35.2200425', '128.6802607']",39
대한민국 경상남도 창원시 성산구 성주동,"['35.2019063', '128.7096473']",26
